<<<<<<< HEAD
movie_id,Título,Puntuación,Géneros,Sinopsis,Tipo de transmisión,Fecha de estreno,Estado,Productores,Licenciantes,Estudios,Fuente,Duración,Clasificación,Rango,Popularidad,Favoritos,Puntuado por,Miembros,URL de la película,URL de la imagen
1,in of and Mystery,6.4,"Aventura, Terror, Comedia",hero a find to a This hero hero the who a who against the about the in movie love to fights fights This fights world a This save fights about,Televisión,2011-06-18,En emisión,Productor 0,Licenciante 0,Estudio 0,Basada en un libro,125,NC-17,7.1,42.4,4953,2597,5249,https://example.com/movie_0,https://source.unsplash.com/random/800x600?sig=0
2,and Beyond Love of,3.8,"Fantasía, Romance",fights the the movie This is movie This movie hero evil against against hero save process love against the and is process a in This the love is and who,Televisión,2020-05-28,En emisión,Productor 1,Licenciante 1,Estudio 1,Basada en un libro,134,R,3.2,18.3,1052,7712,3057,https://example.com/movie_1,https://source.unsplash.com/random/800x600?sig=1
3,of Beyond Adventure Story,7.3,"Comedia, Documental, Fantasía",process the movie evil who is the in is hero save a hero fights world is and save fights a the a evil hero against fights world find and to,Cine,2020-04-07,En emisión,Productor 2,Licenciante 2,Estudio 2,Original,106,R,5.4,44.2,72,2027,8237,https://example.com/movie_2,https://source.unsplash.com/random/800x600?sig=2
4,Love Time Love Action,4.4,"Terror, Acción",evil hero process and the and find is save about and evil against process the find save is save This in and This evil the a world the and the,Cine,2013-11-06,En emisión,Productor 3,Licenciante 3,Estudio 3,Basada en hechos reales,149,PG-13,1.3,82.4,264,1998,4005,https://example.com/movie_3,https://source.unsplash.com/random/800x600?sig=3
5,Action of in of,5.0,Aventura,to save evil save the who in is against who against process world world process evil save hero This the and process is love This to save who world hero,Cine,2015-08-26,En emisión,Productor 4,Licenciante 4,Estudio 4,Original,177,PG-13,6.3,60.0,5860,6696,3813,https://example.com/movie_4,https://source.unsplash.com/random/800x600?sig=4
6,Space The and Story,5.1,"Fantasía, Acción, Animación",fights hero fights is movie world save hero movie a a movie the in movie and love hero and movie a and movie a is against fights is against in,Cine,2010-08-27,Finalizada,Productor 5,Licenciante 5,Estudio 5,Basada en hechos reales,64,PG-13,3.7,81.8,8185,6794,6413,https://example.com/movie_5,https://source.unsplash.com/random/800x600?sig=5
7,The and Action and,6.5,"Ciencia Ficción, Acción",process to process a the the find who This against a This against save find to save in and is is love evil hero process who in the evil in,Streaming,2023-01-29,En emisión,Productor 6,Licenciante 6,Estudio 6,Basada en hechos reales,162,PG,6.8,90.7,7183,1498,8992,https://example.com/movie_6,https://source.unsplash.com/random/800x600?sig=6
8,and Mystery The of,1.4,Ciencia Ficción,is about a movie the and process is save a love process process evil world a This a and who save fights the world hero hero movie hero evil evil,Cine,2002-06-21,En emisión,Productor 7,Licenciante 7,Estudio 7,Adaptación,85,R,8.6,20.5,2533,1804,5365,https://example.com/movie_7,https://source.unsplash.com/random/800x600?sig=7
9,The Time in Story,9.4,"Romance, Ciencia Ficción, Acción",This find who a fights save who evil save find This movie about world in and evil the movie fights a the hero evil process against the process about and,Cine,2010-05-06,En emisión,Productor 8,Licenciante 8,Estudio 8,Adaptación,153,PG,4.8,70.8,5774,9722,7215,https://example.com/movie_8,https://source.unsplash.com/random/800x600?sig=8
10,Time Time Mystery Love,6.7,Animación,movie world the hero movie the against the the against world evil to love love who about a against is to who to is process and world the fights who,Streaming,2021-09-15,Finalizada,Productor 9,Licenciante 9,Estudio 9,Basada en hechos reales,135,PG,6.8,27.4,978,1942,8369,https://example.com/movie_9,https://source.unsplash.com/random/800x600?sig=9
